Date,Open,High,Low,Close,Adj Close,Volume
2004-04-07,247.919998,247.919998,228.177994,231.537003,153.639526,13595852
2004-04-08,232.184998,237.164993,227.942001,235.602997,156.337601,15793342
2004-04-09,null,null,null,null,null,null
2004-04-12,236.899994,238.903000,231.979004,233.363998,154.851883,9365737
2004-04-13,233.953003,238.490997,229.533005,237.695007,157.725754,8685330
2004-04-14,null,null,null,null,null,null
2004-04-15,238.078003,241.024994,230.740997,232.067001,153.991226,17886992
2004-04-16,232.774002,236.427994,232.184998,233.334000,154.831955,8750814
2004-04-19,233.363998,234.807999,228.707993,230.682007,153.072205,10705326
2004-04-20,231.891006,235.897995,228.589996,234.778000,155.790161,11988409
2004-04-21,235.132004,244.796005,233.953003,243.470001,161.557831,14042422
2004-04-22,244.884995,245.679993,240.494003,241.643005,160.345505,14257253
2004-04-23,243.970993,250.453995,240.229004,241.496002,160.248001,9929310
2004-04-26,null,null,null,null,null,null
2004-04-27,240.317993,240.317993,222.255005,223.552002,148.341003,12838990
2004-04-28,235.720993,235.720993,220.694000,226.468994,150.276596,15166950
2004-04-29,224.936996,224.936996,215.832001,216.981003,143.980713,17653456
2004-04-30,216.274002,218.160004,209.201996,210.940994,139.972809,14691222
2004-05-03,209.792007,209.792007,198.977997,201.835999,133.931030,17936380
2004-05-04,202.013000,210.263000,202.013000,206.197006,136.824814,14069404
2004-05-05,208.613007,210.617004,206.020004,209.113998,138.760468,8912413
2004-05-06,212.738007,217.216995,211.619003,215.919998,143.276657,9886270
2004-05-07,215.507996,215.507996,202.779007,203.927994,135.319214,13725578
2004-05-10,203.309006,203.309006,192.171997,195.796005,129.923126,17445571
2004-05-11,190.875000,190.875000,177.498001,181.033997,120.127579,17693880
2004-05-12,180.268005,188.429001,179.207001,186.072006,123.470642,23010539
2004-05-13,177.203003,192.054001,171.016006,187.516006,124.428833,25967655
2004-05-14,189.695999,189.695999,165.063995,170.485001,113.127640,23706692
2004-05-17,170.927002,170.927002,136.718002,154.927994,102.804565,13151495
2004-05-18,159.259003,176.084000,159.112000,172.960007,114.769989,18892699
2004-05-19,176.791000,187.104004,175.612000,185.718994,123.236382,20381743
2004-05-20,188.871002,192.996994,182.153000,188.813004,125.289436,30388165
2004-05-21,197.063004,197.063004,186.514008,193.673996,128.515030,22706938
2004-05-24,197.240005,199.479004,195.205994,196.473007,130.372360,14060284
2004-05-25,195.059006,198.005997,191.404999,196.149002,130.157349,13159260
2004-05-26,196.826996,198.595001,191.641006,193.556000,128.436752,9936356
2004-05-27,191.522995,191.936005,186.985992,187.781006,124.604645,14301675
2004-05-28,187.929001,187.929001,177.380005,178.440994,118.406967,14982147
2004-05-31,176.466995,178.352005,170.014008,174.580994,115.845604,17814779
2004-06-01,176.791000,182.300995,175.966003,178.235001,118.270279,13186816
2004-06-02,179.147995,185.511993,178.292999,183.537994,121.789162,13300369
2004-06-03,186.220001,188.459000,173.255005,175.641998,116.549637,15047910
2004-06-04,173.460999,187.339005,172.666000,185.895004,123.353203,20245516
2004-06-07,187.987000,190.757004,180.326996,181.917999,120.714180,27152505
2004-06-08,179.147995,179.442993,174.139008,175.434998,123.183693,12890919
2004-06-09,173.992004,178.735001,173.992004,175.701004,123.370461,9619751
2004-06-10,175.022995,178.559006,174.434006,175.966003,123.556511,7688907
2004-06-11,176.761002,178.852997,169.955002,170.867996,119.976913,10860528
2004-06-14,170.867996,170.867996,158.904999,160.850006,112.942680,14547691
2004-06-15,160.880005,171.132996,160.880005,169.630997,119.108353,19480046
2004-06-16,168.156998,170.544006,164.828003,166.889999,117.183693,12604521
2004-06-17,166.772995,171.074005,165.210999,170.190994,119.501541,9545107
2004-06-18,169.660004,170.307999,163.914001,165.093002,115.921951,10997039
2004-06-21,166.272003,167.626999,163.089005,163.856003,115.053337,8591739
2004-06-22,163.707993,166.654999,162.117004,164.768997,115.694412,9043748
2004-06-23,165.889008,167.007996,158.139008,159.199997,111.784096,10409891
2004-06-24,161.880997,162.942001,157.992004,161.822006,113.625183,13495116
2004-06-25,162.647003,175.259003,161.940002,174.434006,122.480835,25000661
2004-06-28,175.022995,179.147995,174.580994,178.559006,125.377258,13948464
2004-06-29,177.615997,181.386993,175.376007,180.149994,126.494370,19819434
2004-06-30,179.737000,182.860992,176.673004,177.350998,124.529015,15187604
2004-07-01,177.968994,181.682007,173.078003,180.768997,126.929008,22751931
2004-07-02,179.029999,183.391006,177.468002,179.294998,125.894028,21494024
2004-07-05,179.737000,181.505005,176.938004,178.117004,125.066895,12170883
2004-07-06,177.085007,185.011993,176.496002,184.598999,129.618301,23557226
2004-07-07,184.156998,188.429001,183.597000,186.455002,130.921509,20460673
2004-07-08,186.455002,188.488007,172.076004,174.550995,122.562958,22502542
2004-07-09,171.487000,181.210007,165.151993,180.414993,126.680443,13966811
2004-07-12,181.386993,186.485001,177.968994,185.365005,130.156174,10229884
